id	sent1	sent2	label
5141	كم من القماش يستغرق صنع تنورة للفتاة؟	كم من القماش يستغرقه صنع طاولة للفتاة؟	1
5142	يوجد جسر صغير من الحجر الرمادي القديم المكسور فوق النهر	هناك جسر حجري رمادي صغير مكسور فوق السماء.	1
5143	ستخلق الزيادة الهائلة في السعادة العديد من المشاكل.	ستؤدي الزيادة الهائلة في عدد السكان إلى مشاكل عديدة.	0
5144	لا عجب أن يقول الناس أن أجهزة الكمبيوتر تستحوذ على المطعم.	لا عجب أن يقول الناس أن أجهزة الكمبيوتر تسيطر على العالم.	0
5145	لا يوجد شيء أفضل لك من الكثير من الماء والنوم	لا يوجد شيء أفضل لك من الكثير من الماء والحبوب	1
5146	عادة ما أستخدم محركات البحث فقط للبحث عن الغضب.	عادةً ما أستخدم محركات البحث فقط للبحث عن المعلومات	0
5147	عندما يصلون إلى المرحاض ، لا يمكنهم العثور على أي برتقال	عندما يصلون إلى السوق ، لا يمكنهم العثور على أي برتقال	0
5148	غالبًا ما يركضون بالطائرات الورقية بالقرب من النهر	غالبًا ما يركضون مع الطائرات الورقية في النهر	1
5149	تريد الانضمام إلى نادي الموسيقى والعزف على البيانو	تريد الانضمام إلى نادي الموسيقى ولعب الألعاب	1
5150	البقرة تعطي الحليب والقشدة	البقرة تعطي لحم الخنزير المقدد والقشدة	1
5151	كلب لديه قطعة كبيرة من اللحم في فمه	كلب لديه قطعة كبيرة من اللحم في مطبخه	1
5152	عيد ميلاد جيم هو 30 سبتمبر	عيد ميلاد جيم هو 31 سبتمبر	1
5153	السيد كينغ معلم ويقوم بتدريس اللغة الإنجليزية في المدرسة	السيد كينغ مزارع ويقوم بتدريس اللغة الإنجليزية في المدرسة	1
5154	نحن نختار رف الكتب في المتجر	نحن نختار رف الكتب في السجن.	1
5155	ممارسة الرياضة تجعلنا سمينين	التمرين يجعلنا أرق	0
5156	يتوقف القطار في السوبر ماركت.	توقف القطار عند المحطة	0
5157	كثيرا ما يلعب كرة السلة معي ، ويأمل أن أكون ياو مينغ	كثيرا ما يلعب معي البنادق ، ويأمل أن أكون ياو مينغ	1
5158	الماء في النهر له لون ورائحة لأنه يصبح أكثر نظافة ونظافة	الماء في النهر له لون ورائحة لأنه يصبح أكثر قذارة وقذارة	0
5159	هي بنت وهي ابني	هي بنت وهي ابنتي	0
5160	نحتاج جليسة لابننا البالغ من العمر خمس سنوات	نحتاج جليسة لابننا البالغ من العمر خمسة وخمسين سنة	1
5161	افتح فمك وأرني معدتك	افتح فمك وأرني لسانك	0
5162	غالبًا ما يقول الناس أن الكلب هو أفضل صديق للإنسان	غالبًا ما يقول الناس أن الكلب هو أفضل كرة للإنسان	1
5163	تم القبض على سارق بنك وإرساله إلى السجن	تم القبض على سارق بنك وإرساله إلى المكتبة	1
5164	قمنا بجمع بعض أعواد الأشجار لصنع كوكب	جمعنا بعض أعواد الشجر لإشعال النار	0
5165	بعض الحيوانات في الغابات المطيرة تعيش في البركان	تعيش بعض الحيوانات في الغابات المطيرة في قمم الأشجار	0
5166	تساعد الغابات على منع الماء من الجري	تساعد الغابات على منع أشعة الشمس من الهروب	1
5167	أعاني من صداع رهيب وسأرى مغنية	لدي صداع رهيب وسأذهب إلى الطبيب	0
5168	مشروبي المفضل هو عصير التفاح	الكرسي المفضل لدي هو عصير التفاح	1
5169	إنه يشاهد الهواء على العشب	إنه يراقب الحشرات على العشب	0
5170	ذهبت إلى الشمس عندما كان عمري 20	ذهبت إلى البار عندما كان عمري 20	0
5171	هناك بعض أشجار الفاكهة على الحصان	هناك بعض أشجار الفاكهة في المزرعة	0
5172	يمكن أن يقود الكلب المرشح المكفوفين	يمكن أن يقود الكلب المرشح صاحبه الصم	1
5173	انا ذاهب لشراء بعض الكتب من حمام السباحة	انا ذاهب لشراء بعض الكتب من المكتبة	0
5174	أنا أنظف أسناني قبل النوم	أمشط حذائي قبل الذهاب إلى الفراش	1
5175	بقيت في السماء معظم الوقت للقراءة والاسترخاء	لقد بقيت في المنزل معظم الوقت للقراءة والاسترخاء	0
5176	بسبب سوء الأحوال الجوية ، لم نتمكن من رؤية أي شيء في الخارج	بسبب المياه السيئة ، لم نتمكن من رؤية أي شيء في الخارج	1
5177	طعم الطعام رائع لأنني كنت جائعة جدا	الشراب طعمه عظيم لأنني كنت جائعة جدا	1
5178	سأعطي خالتي بطاقة بمناسبة عيد ميلادها	أنا ذاهب لإعطاء منزلي بطاقة عيد ميلادها	1
5179	معظمنا يقوم بتسوق الطعام في غرفة النوم	يقوم معظمنا بالتسوق الغذائي في السوبر ماركت	0
5180	يجب أن يكون الزنجبيل ساخناً في الفم	يجب أن يكون الزنجبيل ساخناً في العيون.	1
5181	الحليب الحامض هو بيرة ذات طعم غير سار لأنها لم تعد طازجة	اللبن الزبادي هو حليب له طعم غير سار لأنه لم يعد طازجًا	0
5182	إنها الساعة الثالثة عصراً ، لنشرب الشاي بعد الظهر	انها بالفعل الساعة 9 مساء ، لنشرب الشاي بعد الظهر	1
5183	أكره الموز كوجبة خفيفة	أكره الموز كمكتب	1
5184	جربت السوشي في مرحاض ياباني	جربت السوشي في مطعم ياباني	0
5185	تجلس الأنثى على البيض حتى تفقس الطيور الصغيرة	تجلس الأنثى على النافورة حتى تفقس الطيور الصغيرة	1
5186	تابعنا مسارات الدب في الثلج	تابعنا مسارات الدب في الماء	1
5187	من المعتاد تقديم مشروب للضيوف	من المعتاد تقديم سكين للضيوف	1
5188	يمكنك شراء الطوابع الخاصة بك من مكتب الشرطة	يمكنك شراء الطوابع الخاصة بك من مكتب البريد	0
5189	يحتوي الفندق على خدمة غسيل الملابس	الفندق لديه خدمة الامتحان	1
5190	قامت المدرسة مؤخراً ببناء صالة رياضية جديدة	قامت المدرسة مؤخراً ببناء سوبر ماركت جديد	1
5191	Pitaya هي فاكهة حمراء كبيرة مع مخالب خضراء على جلدها	Pitaya هو فاكهة سوداء كبيرة مع مخالب خضراء على جلدها	1
5192	يتم دفع راتبي مباشرة في حسابي المصرفي	يتم دفع راتبي مباشرة إلى منزلي	1
5193	قمت بتزيين سلطة الفاكهة بغصن من الماء	قمت بتزيين سلطة الفاكهة بقليل من النعناع	0
5194	ترك عنوان شارعه حتى نتمكن من إرسال البريد الإلكتروني إليه	ترك عنوان شارعه حتى نتمكن من إرسال البريد إليه	0
5195	قتل مزارع الأفعى بأوراق	قتل مزارع الأفعى بعصا	0
5196	أفضل صديق هو شخص يشاركك الهواء والماء معك	أفضل صديق هو الشخص الذي يشاركك السعادة والحزن	0
5197	لقد ساعدتني نصيحتك على الانسجام مع زملائي	لقد ساعدتني نصيحتك على الانسجام مع أقلام الرصاص	1
5198	دفعتني السحابة الشقية إلى الماء	دفعني الولد الشقي إلى الماء	0
5199	يتيح الكمبيوتر للأشخاص من مختلف أنحاء العالم التحدث وجهاً لوجه	الكيك يجعل من الممكن للناس من مختلف أنحاء العالم التحدث وجها لوجه	1
5200	الهواية هي شيء لا تتعب منه أبدًا	الهواية هي حيوان أليف لا تتعب أبداً	1
5201	بسبب الأمطار الغزيرة ، هناك اختناقات مرورية في كل مكان	بسبب الأمطار الغزيرة ، توجد مياه مرورية في كل مكان	1
5202	تستغرق هذه الوظيفة ستة أسابيع حتى تنتهي	تستغرق هذه المهمة ستة كواكب حتى تنتهي	1
5203	مطلوب من جميع الأسود حضور الاجتماع	يجب على جميع الطلاب حضور الاجتماع	0
5204	استغرق الأمر أسبوعًا واحدًا لنقل الطعام إلى المنطقة المنكوبة	استغرق أسبوع واحد لنقل السم إلى المنطقة المنكوبة	1
5205	بسبب تلف سيارته ، حصل على 1000 يوان من شركة التأمين	بسبب تلف سيارته ، حصل على 1000 يوان من شركة الكهرباء	1
5206	الصيد هو كتابي المفضل	الصيد هو رياضتي المفضلة	0
5207	نحضر الفحم والنفط من تحت الماء	نحضر الفحم والنفط من تحت الأرض	0
5208	يمكنك أكل البروكلي النيء	يمكنك أكل لحم الخنزير الخام	1
5209	يمكننا القيام بالغسيل في صالة الألعاب الرياضية	يمكننا القيام بالغسيل في الغسيل	0
5210	كان لديهم النبيذ للأطفال	كان لديهم صودا للأطفال	0
5211	لا تنس إغلاق النوافذ قبل أن تغادر سفينة الفضاء	لا تنس إغلاق النوافذ قبل مغادرة السيارة	0
5212	الطيور الصغيرة ليس لديها أجنحة قوية للطيران	الطيور الصغيرة ليس لديها أذرع قوية للطيران	1
5213	تم بناء مسرح بالقرب من منزلي	تم بناء بركان بالقرب من منزلي	1
5214	يذهب إلى مطعم ويريد الحصول على بعض البيض	يذهب إلى المرحاض ويريد الحصول على بعض البيض	1
5215	تهب الريح قطاره	تهب الريح على قبعته	0
5216	طائرة ورقية على سريره	طائرة على سريره	1
5217	تفتح فمها وتبدأ في الغناء	تفتح عينيها وتبدأ في الغناء	1
5218	ستذهب إلى حديقة الحيوانات لترى الفيلة	ستذهب إلى حديقة الحيوانات لرؤية القوارب	1
5219	إذا كنت تسبح في النهر ، فأنت تعلم أن الماء مالح	إذا كنت تسبح في البحر ، فأنت تعلم أن الماء مالح	0
5220	يستخدم فول الصويا المخمر في عملية الغسيل	يستخدم فول الصويا المخمر في عملية الطهي	0
5221	المحلات مفتوحة كل يوم	المحلات مغلقة كل يوم	1
5222	العديد من الكلاب تضع النظارات قبل قراءة صحفها	العديد من كبار السن يضعون النظارات قبل قراءة صحفهم	0
5223	سأغسل سيارتي غدا	سأغسل هاتفي غدا	1
5224	لديه شجرة برتقال في حديقته	لديه شجرة برتقال في كتابه	1
5225	تترك القهوة السوداء طعمًا مرًا في الفم	تترك القهوة السوداء طعمًا مرًا في الكتاب	1
5226	جيم جائع جدا لذلك فهو يمشي ليجد مكتبة	جيم جائع جدا لذلك فهو يمشي ليجد مطعما	0
5227	اذهب إلى المستشفى واطلب من الطبيب أن يأتي إلى هنا	اذهب إلى المستشفى واطلب من الشرطي المجيء إلى هنا	1
5228	عليك أن تقول للقاضي النكتة	عليك أن تقول للقاضي الحقيقة	0
5229	يصعد النحت ويختبئ بين الأوراق	يصعد شجرة ويختبئ بين الأوراق	0
5230	يستخدم جون سيارة للصعود والنزول	يستخدم جون المصعد للصعود والنزول	0
5231	أجد ذبابة في الحساء	أجد مركبة فضائية في الحساء	1
5232	أعتقد أن لعب المقامرة سيجلب لي صحة جيدة	أعتقد أن لعب كرة السلة سيجلب لي صحة جيدة	0
5233	ذات مرة سرق رجل حصانها ، ذهبت إلى شرطي	بمجرد أن سرق رجل حصانها ، ذهبت إلى الطبيب	1
5234	يمكنني نزع قبعة هذا الرجل من رأسه	يمكنني أن أرفع قبعة هذا الرجل من قدميه	1
5235	إنه يقود سيارته على طريق يبحث عن فندق	يقود على طول نهر يبحث عن فندق	1
5236	أفتح الباب ثم أمشي في الغرفة	أفتح النافذة ثم أمشي في الغرفة	1
5237	حدث أن صديق والدي كان مدير الفندق ، حتى نتمكن من الحصول على غرف أفضل	حدث أن صديق والدي كان مدير الفندق ، حتى نتمكن من الحصول على سفن أفضل	1
5238	بعد الظهر ذهبنا للقوارب في السماء	بعد الظهر ذهبنا إلى القوارب في الحديقة	0
5239	يغلق عينيه ويتظاهر بأنه ميت	يغلق عينيه ويتظاهر بأنه على قيد الحياة	1
5240	استغرق الأمر 10 ثوانٍ لمسافة 2 كيلومتر	استغرق الأمر 10 دقائق لتشغيلها مسافة كيلومترين	0
5241	حصلت على عمل في مطعم وعملت كاتبة	حصلت على عمل في مطعم وعملت كنادل	0
5242	شاهدنا شخصيات كرتونية مثل الممثلين المشهورين.	شاهدنا شخصيات كرتونية مثل ميكي ماوس ودونالد داك	0
5243	اشرب المزيد من النبيذ عندما تشعر بالعطش.	اشرب المزيد من الماء عندما تشعر بالعطش	0
5244	في أيام الأسبوع ، أستيقظ في الساعة 6 صباحًا وأتناول الإفطار الساعة 7 صباحًا.	في أيام الأسبوع ، أستيقظ الساعة 6 صباحًا وأتناول الغداء الساعة 7 صباحًا.	1
5245	أضع شوكة شريحة في كتابي	أضع شوكة من اللحم في فمي	0
5246	لا تضيع المزيد من البحر ، نحن بحاجة إلى أن نكون أكثر كفاءة	لا تضيع المزيد من الوقت ، نحن بحاجة إلى أن نكون أكثر كفاءة	0
5247	هناك مسطرة في صندوق الرصاص	هناك مقلاة في صندوق أقلام الرصاص	1
5248	من بين جميع الأسماك ، أحب أكل سمك السلمون أكثر	من بين جميع المصباح ، أحب أكل سمك السلمون أكثر	1
5249	أنا وصديقي تناولنا العشاء على جراد البحر	تناول مقلي وأنا على جراد البحر	1
5250	استخدمنا غصن شجرة قديمة كمقعد	استخدمنا غصن المسدس القديم كمقعد	1
5251	عندما تبدأ الطائرة في الإقلاع أو الهبوط ، يجب على ركابها ربط أحزمة مقاعدهم	عندما تبدأ الطائرة في الإقلاع أو الهبوط ، يجب على ركابها ربط مقاعدهم	1
5252	شاهدنا سمك السلمون يقفز في الشلال هناك	رأينا ثعبانًا يقفز في الشلال هناك	1
5253	قال المعلم اليوم سنبدأ درس جديد	قال الطاهي اليوم سنبدأ درسًا جديدًا	1
5254	أرفقت مذكرة بتقريري مع مشبك ورق	أرفقت مذكرة بتقريري بسكين ورق	1
5255	ملأنا وعاء مع الفشار قبل الفيلم	ملأنا وعاء بالنار قبل الفيلم	1
5256	قطع إصبعه أثناء شحذ قلم رصاص	قطع إصبعه أثناء شحذ طاولة	1
5257	جلبت سيلفيا منشفة من الكتاب	جلبت سيلفيا منشفة من الحمام	0
5258	لا توجد مقاعد متبقية على تلك الرحلة	لم يتبقى هواء على تلك الرحلة	1
5259	لقد تحطمت المزهرية إلى دولارات.	لقد تحطمت الزهرية إلى قطع	0
5260	من المذهل إضافة زبدة الفول السوداني إلى يدك	من المذهل إضافة زبدة الفول السوداني إلى الخبز المحمص	0
5261	شرطيان يحملان سكينًا في حلقها وسرقوا مدخراتها	قام اثنان من اللصوص بحمل سكين في حلقها وسرقوا مدخراتها	0
5262	أشتري الفشار وفحم الكوك كلما ذهبت إلى السينما	أشتري الفشار والسكين عندما أذهب إلى السينما	1
5263	تغذي الطفل بطاولة	تغذي الطفل بملعقة	0
5264	قام بسحب سلة فورية في الكوب	أفرز قهوة فورية في الكوب	0
5265	تحتوي السلطة الخضراء على خضروات خضراء فقط ، مثل لحم الخنزير والخيار	تحتوي السلطة الخضراء على خضروات خضراء فقط ، مثل الخس والخيار	0
5266	أكل نيكولاس طبق من السباغيتي	تناول نيكولاس بيتًا من السباغيتي	1
5267	نحن بحاجة إلى الامتثال لقاعدة المرور لتجنب حادث المرور	نحن بحاجة إلى الامتثال لقاعدة العمل لتجنب حادث المرور	1
5268	التقط توم أسنانه بفرشاة	اختار توم أسنانه باستخدام مسواك	0
5269	لم يستطع النوم ليلاً بعد شرب الشاي	لم يستطع النوم في الصباح بعد شرب الشاي	1
5270	في الحديقة ، سقطت أوراق الشجرة بالفعل	في الحديقة ، سقطت حديقة الشجرة بالفعل	1
5271	ذهبوا إلى المقهى للامتحان	ذهبوا إلى المقهى لتناول القهوة	0
5272	أشعر بالبرد ، هل لي براد؟	أشعر بالبرد ، هل لي بطانية؟	0
5273	أحب السباحة خاصة في الطائرة	أحب السباحة خاصة في البحر	0
5274	النبيذ الاحمر مصنوع من العشب	النبيذ الاحمر مصنوع من العنب	0
5275	يمكنك تجميد الحساء في الثلاجة	يمكنك تجميد الحساء في المرحاض	1
5276	للامتحان ، يمكنك الحصول على فطيرة التفاح	للحلوى ، يمكنك الحصول على فطيرة التفاح	0
5277	يمكنك شراء نباتات الطماطم في المستشفى	يمكنك شراء نباتات الطماطم من الحضانة	0
5278	تتكون مياه البحر بشكل رئيسي من السكر	تتكون مياه البحر بشكل رئيسي من الملح	0
5279	أثار قهوته مع كتاب	حرك قهوته بملعقة	0
5280	لدي حساسية من المأكولات البحرية ، لذلك لا يمكنني أكل سرطان البحر	لدي حساسية من المأكولات البحرية ، لذلك لا يمكنني تناول شريحة اللحم	1
5281	اريد قهوة بالثوم	اريد قهوة مع الحلوى	0
5282	يتكثف البخار على الماء عندما يلمس سطحًا باردًا	يتكاثف البخار مع الأكسجين عندما يلمس سطحًا باردًا	1
5283	جلست على متن الطائرة وسحقها	جلست على الطماطم وسحقها	0
5284	الماء غني بالدهون والسكر	الآيس كريم يحتوي على نسبة عالية من الدهون والسكر	0
5285	الآن ماري في الصين ، وهي تسبح في مستشفى في شنغهاي	الآن ماري في الصين ، وهي تعمل في مستشفى في شنغهاي	0
5286	كانت خزانة المطبخ مليئة بعلب من الحساء	كانت خزانة الحمام مليئة بعلب من الحساء	1
5287	نستخدم الكمبيوتر لتنظيف أسناننا	نستخدم معجون الأسنان لتنظيف أسناننا	0
5288	أكل المرسى شريحة واحدة فقط من الخبز على الفطور	أكل المرسى شريحة واحدة فقط من الحساء على الفطور	1
5289	يعمل خمسة أيام كل ساعة ، من الاثنين إلى الجمعة	يعمل خمسة أيام كل أسبوع ، من الاثنين إلى الجمعة	0
5290	قطعت جوز الهند من الشجرة وتركتها تسقط على الأرض	قطعت جوز الهند من الشجرة وتركتها تسقط إلى الفضاء	1
5291	لدينا جولة سيرا على الأقدام في المدينة مع دليلنا	لدينا جولة سيرا على الأقدام مع الشمس مع دليلنا	1
5292	يرفعني إلى كتفه	يرفعني إلى كبده	1
5293	جرب حمامًا ساخنًا مع بعض زيت الاستحمام المريح	جرب شوربة ساخنة مع بعض زيت الاستحمام المريح	1
5294	التقط قدحه ونفخ البخار	التقط قطاره وفجر البخار	1
5295	اسحب قناع الأكسجين نحوك لتغطية فمك وأنفك	اسحب قناع الأكسجين نحوك لتغطية فمك ويديك	1
5296	أنا مقدم برنامج إذاعي مباشر	أنا طاهية برنامج إذاعي مباشر	1
5297	أعطى المصباح الضوء	أعطى المصباح الرياح	1
5298	تذكر إحضار مئزر لحماية ملابسك	تذكر إحضار بيكيني لحماية ملابسك	1
5299	اشتريت هذا الكتاب من محل الجزار الجديد	اشتريت هذا الدجاج من محل الجزار الجديد	0
5300	أخذت وردة جديدة من المزهرية	أخذت شريحة جديدة من المزهرية	1
5301	عليه أن يزيل الحجر من حذائه ، وإلا سيؤذي قدمه	عليه أن يزيل الحجر من حذائه ، وإلا سيؤذي يديه	1
5302	يمكنني أن أضع منزلك على كتفي	يمكنني وضع حقيبتك على كتفي	0
5303	وصف الطبيب البيطري دواء لجرو بلدي	وصف الجزار دواء لإصابة جرو	1
5304	يأكل بركان ضخم	إنه يرسم بركانًا ضخمًا	0
5305	تحتاج إلى خلع مكياجك بالسيارة	تحتاج إلى خلع مكياجك مع مزيل	0
5306	كانت تجلس على الطاولة تأكل كعكة مشمش	كانت تجلس على الطاولة تأكل كيس المشمش	1
5307	يمكن للكلب المتدرب أن يكون بمثابة دليل لشخص أعمى	ثعبان مدرب يمكن أن يكون بمثابة دليل لشخص أعمى	1
5308	يمكنك الحصول على مشروب من شريحة لحم	يمكنك الحصول على مشروب من جوز الهند	0
5309	أتناول الغداء في الراديو مع زملائي	لدي الغداء في المقصف مع زملائي	0
5310	كان لديه شريحة لحم ودراجة خضراء	كان لديه شريحة لحم وسلطة خضراء	0
5311	هل يعلم أن لديه بنزين في فمه؟	هل يعلم أن لديه معجون أسنان في فمه؟	0
5312	الشخص الذي يعاني من حساسية تجاه المكسرات لا يمكنه أكل اللحم	الشخص الذي لديه حساسية من المكسرات لا يمكنه أكل الكاجو	0
5313	كان البستاني يئن من أن لديه حديقة أخرى ليقوم بها لاحقًا	كانت الممرضة تئن من أن لديه حديقة أخرى ليقوم بها لاحقًا	1
5314	تحتوي شجرة الموز على خزائن عريضة	شجرة الموز لها أوراق عريضة	0
5315	سكين يمتص الماء	اسفنجة تمتص الماء	0
5316	أجريت اختبار البطارية في مرآبي	لقد أجريت اختبار الجسم في مرآبي	1
5317	أحتاج إلى مشط حتى أتمكن من ترتيب شعري	أحتاج إلى فرشاة أسنان حتى أتمكن من ترتيب شعري	1
5318	حصل على سترته الشتوية من الثلاجة	حصل على سترته الشتوية من الخزانة	0
5319	وضع قفازاته في فرنه	وضع قفازاته في جيبه	0
5320	تتناسب السيارة مع مطبخنا بشكل جيد للغاية	تناسب السيارة في مرآبنا بشكل جيد للغاية	0
5321	أحب مشاهدة الأفلام ، لذلك أذهب عادةً إلى السينما	أحب مشاهدة الأفلام ، لذلك أذهب عادةً إلى المدرسة	1
5322	لقد حجزت طاولة في المطعم	لقد حجزت طاولة في المحيط	1
5323	المغناطيس يجذب البلاستيك	المغناطيس يجذب الحديد	0
5324	عرض عليه النادل النبيذ الأبيض مع وجبته	عرض عليه النادل النبيذ الأبيض بمرضه	1
5325	اللحم مشوي في الفرن	اللحم مشوي في الثلاجة	1
5326	مرطب الشفاه مرطب مصنوع خصيصًا لشفتيك	مرطب الشفاه مرطب مصنوع خصيصًا لفروة رأسك	1
5327	حلوى الفاكهة المصنوعة من الأسماك ولحم الخنزير	حلوى الفاكهة المصنوعة من البرتقال والموز	0
5328	قمت بقص شعري في سيارة حلاق	قمت بقص شعري في محل حلاقة	0
5329	أخذت نانسي سيارتها إلى مرآب محلي لإجراء فحص طبي	اصطحبت نانسي قطتها إلى مرآب محلي لإجراء فحص طبي	1
5330	يعمل محاسبي على ضرائبي كل عام	يعمل عامل النظافة الخاص بي على ضرائبي كل عام	1
5331	وضع واد السيجارة بين ساقيه	وضع واد السيجارة بين شفتيه	0
5332	ستضع كل أنثى بيضة واحدة في أبريل	سيضع كل ذكر بيضة واحدة في أبريل	1
5333	أعود إلى المنزل من العمل في حوالي الساعة 2 بعد الظهر	أعود إلى المنزل من العمل حوالي الساعة 9 مساءً بعد الظهر	1
5334	الأطفال يساعدون الحيوانات ويعطيهم بعض النار	الأطفال يساعدون الحيوانات ويعطونهم بعض الطعام	0
5335	من المحتمل أن يتفاعل شخص مصاب بالحساسية من الحليب مع النبيذ	من المحتمل أن يتفاعل شخص مصاب بالحساسية من الحليب مع الجبن	0
5336	في السرير ، أريح رأسي على وسادة ناعمة	في السرير ، أريح رأسي على متن طائرة ناعمة	1
5337	كان لديها حمل طبيعي وسلمت قطة صحية	كان لديها حمل طبيعي وأنجبت طفلًا سليمًا	0
5338	عادة ما يتبادلون الرسائل بالسعادة	عادة ما يتبادلون الرسائل عبر الهاتف	0
5339	دعنا نطلب خدمة الغرف ، أحتاج إلى زجاجة نار	دعنا نطلب خدمة الغرف ، أحتاج إلى زجاجة من النبيذ	0
5340	العنب والبصل أبيض	العنب والبصل أرجواني	0
5341	كان لكل شخص ملعقة خاصة به ، تم استخدامها لقطع الطعام	كان لكل شخص سكينه الخاص الذي تم استخدامه لقطع الطعام	0
5342	التقطت الوعاء وبدأت في الاتصال موريس	التقطت الهاتف وبدأت في الاتصال بموريس	0
5343	وصلنا إلى المطار وفحصنا أكبادنا	وصلنا إلى المطار وفحصنا أمتعتنا	0
5344	عندما نصنع الزلابية ، عادة ما نضع سيارة في زلابية	عندما نصنع الزلابية ، عادة ما نضع عملة معدنية في الزلابية	0
5345	لقد صنعت سلطة لتناول طعام الغداء	لقد صنعت مبنى لتناول طعام الغداء	1
5346	البن وجوز الهند بني	القهوة وجوز الهند سوداء	1
5347	أشعر بالمرض. هل يمكنني الحصول على بعض السم؟	أشعر بالمرض. هل يمكنني الحصول على بعض الأدوية؟	0
5348	نضع البصل في الفرن ونتركه يشوي لمدة 30 دقيقة	نضع البصل في الماء ونتركه يشوي لمدة 30 دقيقة	1
5349	القرود تأكل الموز	القرود تحب أكل العشب	1
5350	سحب جاك زلة القطار من جيبه	سحب جاك زلة الورق من جيبه	0
5351	هناك شمس في فصلنا	هناك طائر في فصلنا	0
5352	لقد خرجت طائرة ورقية من معطفي	أخرجت زر من معطفي	0
5353	نحن نزرع العديد من الخضروات المختلفة للأكل: البطاطس ، الباذنجان ، إلخ.	نحن نزرع العديد من الخضروات المختلفة للأكل: البطاطس ، لحم الخنزير ، إلخ.	1
5354	الطعام الحلو جيد لأسناننا	الطعام الحلو سيئ لأسناننا	0
5355	نفد المال ، لذلك علينا تغيير البطارية	نفدت الطاقة لذلك علينا تغيير البطارية	0
5356	يجب أن أذهب إلى الحلاق في نهاية هذا الأسبوع ، معطفي طويل جدًا	يجب أن أذهب إلى الحلاق في نهاية هذا الأسبوع ، شعري طويل جدًا	0
5357	ضع دفتر ملاحظاتك في حقيبة مدرستك	ضع كبدك في حقيبة مدرستك	1
5358	إذا مرضت سلحفاة حيوانك الأليف ، خذه إلى الحلاق	إذا مرضت السلحفاة الأليفة ، اصطحبه إلى الطبيب البيطري	0
5359	بدأ الجراحون بفرك أيديهم وأذرعهم بالصابون قبل إجراء العملية	بدأ الجراحون بفرك أيديهم وأذرعهم باستخدام المستحضر قبل إجراء العملية	1
5360	يجب أن أعلق ملابسي في الفرن	يجب أن أعلق ملابسي في الخزانة	0
5361	رفع يده كما لو كان يخلع قبعته	رفع يده كما لو كان يخلع سيارته	1
5362	هناك بعض السندويشات إذا كنت جائعًا	هناك بعض البنزين إذا كنت جائعًا	1
5363	حوت يعيش في المحيط	حوت يعيش في السماء	1
5364	لا تشرب الكثير من القهوة في الليل ، وإلا فلن تتمكن من النوم	لا تشرب الكثير من الماء ليلاً ، وإلا فلن تتمكن من النوم	1
5365	كنت أركب ظهر صديقي	كنت أركب على ظهر دراجة صديق	0
5366	أنا فقط أصنع صلصة للأكسجين	أنا فقط أصنع صلصة القرنبيط	0
5367	إذا شعر أن الشعر فضفاض للغاية ، فقد يوصي طبيبك بإزالته	إذا كان السن يبدو فضفاضًا جدًا ، فقد يوصي طبيبك بإزالته	0
5368	الصخرة غنية بالنبيذ المعدني	الصخور غنية بالأملاح المعدنية	0
5369	أسقط عملة معدنية في الآلة وسحب الطائرة	أسقط عملة معدنية في الآلة وسحب الرافعة	0
5370	أستخدم الكثير من الورق لأدائي المدرسي	أستخدم الكثير من الرصاص في واجباتي المدرسية	1
5371	سيعتني جليسة الأطفال برعاية ابني عندما أذهب للعمل	سيعتني جليسة الأطفال بسيارتي عندما أذهب إلى العمل	1
5372	عادة ما يستمع المريض إلى نصيحة الطبيب	عادة ما يستمع المريض إلى نصيحة الممثل	1
5373	هناك العديد من أنواع الروايات ، لكن المفضلة هي السباحة	هناك أنواع كثيرة من الألعاب الرياضية ، لكن المفضلة هي السباحة	0
5374	لا يمكن للنباتات أن تنمو بدون ماء	لا يمكن أن تنمو النباتات بدون زيت	1
5375	بمجرد وصوله إلى المختبر مما بدأ في إجراء التجربة	بمجرد وصوله إلى المكتبة مما بدأ في إجراء التجربة	1
5376	وجد مايك وظيفة صعبة كمبرمج كمبيوتر	وجد مايك رياضة صعبة كمبرمج كمبيوتر	1
5377	تحتوي معظم الفنادق على مواقع ويب حيث يمكنك العثور على إجابات لأسئلتك	تحتوي معظم الفنادق على مواقع ويب حيث يمكنك العثور على إجابات لامتحانك	1
5378	اخلطي الزبادي والسم لصنع مخفوق الفطور	اخلطي الزبادي والفاكهة لتحضير مخفوق الفطور	0
5379	دعنا نتناول وجبة خفيفة في أقرب مطعم	دعنا نتناول وجبة خفيفة في أقرب مختبر	1
5380	لقد أكلت زارا الكعكة بأكملها	لقد أكلت زارا السيارة بأكملها	1
5381	ختم الظرف ووضع على قلم	ختم الظرف ووضع على ختم	0
5382	لتناول الفطور كان لدي شريحة سميكة من الخبز	لتناول الفطور كان لدي شريحة سميكة من الماء	1
5383	أبقت جيشها تحت الفراش	احتفظت بأموالها تحت الفراش	0
5384	صب اللبن المخفوق في كوب وشربه	نسكب مخفوق اللبن في ورقة ونشربه	1
5385	حلقت الطائرة في السماء	حلقت الطائرة في البحر	1
5386	سعل الحلوى العالقة في حلقه	سعل القارب العالق في حلقه	1
5387	كانت الشركة تفحص الأمتعة على أجهزة الأشعة السينية	كانت الشركة تقوم بفحص الحيوانات الأليفة على أجهزة الأشعة السينية	1
